name,code
Santa Rosa,061004
Ciudad de Nutrias,061101
El Regalo,061102
Puerto de Nutrias,061103
Santa Catalina,061104
El Cantón,061201
Santa Cruz de Guacas,061202
Puerto Vivas,061203
Cachamay,070101
Chirica,070102
Dalla Costa,070103
Once de Abril,070104
Simón Bolívar,070105
Unare,070106
Universidad,070107
Vista al Sol,070108
Pozo Verde,070109
Yocoima,070110
Sección Capital Cedeño,070201
Altagracia,070202
Ascensión Farreras,070203
Guaniamo,070204
La Urbana,070205
Pijiguaos,070206
Capital El Callao,070301
Sección Capital Gran Sabana,070401
Ikabarú,070402
Agua Salada,070501
Catedral,070502
José Antonio Páez,070503
La Sabanita,070504
Marhuanta,070505
Vista Hermosa,070506
Orinoco,070507
Panapana,070508
Zea,070509
Sección Capital Piar,070601
Andrés Eloy Blanco,070602
Pedro Cova,070603
Sección Capital Raúl Leoni,070701
Barceloneta,070702
San Francisco,070703
Santa Bárbara,070704
Sección Capital Roscio,070801
Salom,070802
Sección Capital Sifontes,070901
Dalla Costa,070902
San Isidro,070903
Sección Capital Sucre,071001
Aripao,071002
Guarataro,071003
Las Majadas,071004
Moitaco,071005
Capital Padre Pedro Chien,071101
Bejuma,080101
Canoabo,080102
Simón Bolívar,080103
Güigüe,080201
Belén,080202
Tacarigua,080203
Aguas Calientes,080301
Mariara,080302
Ciudad Alianza,080401
Guacara,080402
Yagua,080403
Morón,080501
Urama,080502
Tocuyito,080601
Independencia,080602
Los Guayos,080701
Miranda,080801
Montalbán,080901
Naguanagua,081001
Bartolomé Salom,081101
Democracia,081102
Fraternidad,081103
Goaigoaza,081104
Juan José Flores,081105
Unión,081106
Borburata,081107
Patanemo,081108
San Diego,081201
San Joaquín,081301
Candelaria,081401
Catedral,081402
El Socorro,081403
Miguel Peña,081404
Rafael Urdaneta,081405
San Blas,081406
San José,081407
Santa Rosa,081408
Negro Primero,081409
Cojedes,090101
Juan de Mata Suárez,090102
Tinaquillo,090201
El Baúl,090301
Sucre,090302
Macapo,090401
La Aguadita,090402
El Pao,090501
Libertad de Cojedes,090601
El Amparo,090602
Rómulo Gallegos,090701
San Carlos de Austria,090801
Juan Angel Bravo,090802
Manuel Manrique,090803
General en Jefe José Laurencio Silva,090901
Curiapo,100101
Almirante Luis Brión,100102
Francisco Aniceto Lugo,100103
Manuel Renaud,100104
Padre Barral,100105
Santos de Abelgas,100106
Imataca,100201
Cinco de Julio,100202
Juan Bautista Arismendi,100203
Manuel Piar,100204
Rómulo Gallegos,100205
Pedernales,100301
Luis Beltrán Prieto Figueroa,100302
San José,100401
José Vidal Marcano,100402
Juan Millán,100403
Leonardo Ruíz Pineda,100404
Mariscal Antonio José de Sucre,100405
Monseñor Argimiro García,100406
San Rafael,100407
Virgen del Valle,100408
San Juan de los Cayos,110101
Capadare,110102
La Pastora,110103
Libertador,110104
San Luis,110201
Aracua,110202
La Peña,110203
Capatárida,110301
Bariro,110302
Borojó,110303
Guajiro,110304
Seque,110305
Zazárida,110306
Capital Cacique Manaure,110401
Carirubana,110501
Norte,110502
Punta Cardón,110503
Santa Ana,110504
La Vela de Coro,110601
Acurigua,110602
Guaibacoa,110603
Las Calderas,110604
Macoruca,110605
Capital Dabajuro,110701
Pedregal,110801
Agua Clara,110802
Avaria,110803
Piedra Grande,110804
Purureche,110805
Pueblo Nuevo,110901
Adícora,110902
Baraived,110903
Buena Vista,110904
Jadacaquiva,110905
Moruy,110906
Adaure,110907
El Hato,110908
El Vínculo,110909
Churuguara,111001
Agua Larga,111002
Paují,111003
Independencia,111004
Mapararí,111005
Jacura,111101
Agua Linda,111102
Araurima,111103
Los Taques,111201
Judibana,111202
Mene de Mauroa,111301
Casigua,111302
San Félix,111303
San Antonio,111401
San Gabriel,111402
Santa Ana,111403
Guzmán Guillermo,111404
Mitare,111405
Río Seco,111406
Sabaneta,111407
Chichiriviche,111501
Boca de Tocuyo,111502
Tocuyo de la Costa,111503
Capital Palmasola,111601
Cabure,111701
Colina,111702
Curimagua,111703
Píritu,111801
San José de la Costa,111802
Capital San Francisco,111901
Tucacas,112001
Boca de Aroa,112002
Sucre,112101
Pecaya,112102
Capital Tocópero,112201
Santa Cruz de Bucaral,112301
El Charal,112302
Las Vegas del Tuy,112303
Urumaco,112401
Bruzual,112402
Puerto Cumarebo,112501
La Ciénaga,112502
La Soledad,112503
Pueblo Cumarebo,112504
Zazárida,112505
Camaguán,120101
Puerto Miranda,120102
Uverito,120103
Chaguaramas,120201
El Socorro,120301
Capital San Gerónimo de Guayabal,120401
Cazorla,120402
Valle de La Pascua,120501
Espino,120502
Las Mercedes,120601
Cabruta,120602
Santa Rita de Manapire,120603
El Sombrero,120701
Sosa,120702
Calabozo,120801
El Calvario,120802
El Rastro,120803
Guardatinajas,120804
Altagracia de Orituco,120901
Lezama,120902
Libertad de Orituco,120903
Paso Real de Macaira,120904
San Francisco de Macaira,120905
San Rafael de Orituco,120906
Soublette,120907
Ortiz,121001
San Francisco de Tiznados,121002
San José de Tiznados,121003
San Lorenzo de Tiznados,121004
Tucupido,121101
San Rafael de Laya,121102
San Juan de Los Morros,121201
Cantagallo,121202
Parapara,121203
San José de Guaribe,121301
Santa María de Ipire,121401
Altamira,121402
Zaraza,121501
San José de Unare,121502
Pío Tamayo,130101
Quebrada Honda de Guache,130102
Yacambú,130103
Fréitez,130201
José María Blanco,130202
Catedral,130301
Concepción,130302
El Cují,130303
Juan de Villegas,130304
Santa Rosa,130305
Tamaca,130306
Unión,130307
Aguedo Felipe Alvarado,130308
Buena Vista,130309
Juárez,130310
Juan Bautista Rodríguez,130401
Cuara,130402
Diego de Lozada,130403
Paraíso de San José,130404
San Miguel,130405
Tintorero,130406
José Bernardo Dorante,130407
Coronel Mariano Peraza,130408
Bolívar,130501
Anzoátegui,130502
Guarico,130503
Hilario Luna y Luna,130504
Humocaro Alto,130505
Humocaro Bajo,130506
La Candelaria,130507
Morán,130508
Cabudare,130601
José Gregorio Bastidas,130602
Agua Viva,130603
Sarare,130701
Buría,130702
Gustavo Vegas León,130703
Trinidad Samuel,130801
Antonio Díaz,130802
Camacaro,130803
Castañeda,130804
Cecilio Zubillaga,130805
Chiquinquirá,130806
El Blanco,130807
Espinoza de los Monteros,130808
Lara,130809
Las Mercedes,130810
Manuel Morillo,130811
Montaña Verde,130812
Montes de Oca,130813
Torres,130814
Heriberto Arroyo,130815
Reyes Vargas,130816
Altagracia,130817
Siquisique,130901
Moroturo,130902
San Miguel,130903
Xaguas,130904
Presidente Betancourt,140101
Presidente Páez,140102
Presidente Rómulo Gallegos,140103
Gabriel Picón González,140104
Héctor Amable Mora,140105
José Nucete Sardi,140106
Pulido Méndez,140107
Capital Andrés Bello,140201
Capital Antonio Pinto Salinas,140301
Mesa Bolívar,140302
Mesa de Las Palmas,140303
Capital Aricagua,140401
San Antonio,140402
Capital Arzobispo Chacón,140501
Capurí,140502
Chacantá,140503
El Molino,140504
Guaimaral,140505
Mucutuy,140506
Mucuchachí,140507
Fernández Peña,140601
Matriz,140602
Montalbán,140603
Acequias,140604
Jají,140605
La Mesa,140606
San José del Sur,140607
Capital Caracciolo Parra Olmedo,140701
Florencio Ramírez,140702
Capital Cardenal Quintero,140801
Las Piedras,140802
Capital Guaraque,140901
Mesa de Quintero,140902
Río Negro,140903
Capital Julio César Salas,141001
Palmira,141002
Capital Justo Briceño,141101
San Cristóbal de Torondoy,141102
Antonio Spinetti Dini,141201
Arias,141202
Caracciolo Parra Pérez,141203
Domingo Peña,141204
El Llano,141205
Gonzalo Picón Febres,141206
Jacinto Plaza,141207
Juan Rodríguez Suárez,141208
Lasso de la Vega,141209
Mariano Picón Salas,141210
Milla,141211
Osuna Rodríguez,141212
Sagrario,141213
El Morro,141214
Los Nevados,141215
Capital Miranda,141301
Andrés Eloy Blanco,141302
La Venta,141303
Piñango,141304
Capital Obispo Ramos de Lora,141401
Eloy Paredes,141402
San Rafael de Alcázar,141403
Capital Padre Noguera,141501
Capital Pueblo Llano,141601
Capital Rangel,141701
Cacute,141702
La Toma,141703
Mucurubá,141704
San Rafael,141705
Capital Rivas Dávila,141801
Gerónimo Maldonado,141802
Capital Santos Marquina,141901
Capital Sucre,142001
Chiguará,142002
Estánquez,142003
La Trampa,142004
Pueblo Nuevo del Sur,142005
San Juan,142006
El Amparo,142101
El Llano,142102
San Francisco,142103
Tovar,142104
Capital Tulio Febres Cordero,142201
Independencia,142202
María de la Concepción Palacios Blanco,142203
Santa Apolonia,142204
Capital Zea,142301
Caño El Tigre,142302
Caucagua,150101
Aragüita,150102
Arévalo González,150103
Capaya,150104
El Café,150105
Marizapa,150106
Panaquire,150107
Ribas,150108
San José de Barlovento,150201
Cumbo,150202
Baruta,150301
El Cafetal,150302
Las Minas de Baruta,150303
Higuerote,150401
Curiepe,150402
Tacarigua,150403
Mamporal,150501
Carrizal,150601
Chacao,150701
Charallave,150801
Las Brisas,150802
El Hatillo,150901
Los Teques,151001
Altagracia de La Montaña,151002
Cecilio Acosta,151003
El Jarillo,151004
Paracotos,151005
San Pedro,151006
Tácata,151007
Santa Teresa del Tuy,151101
El Cartanal,151102
Ocumare del Tuy,151201
La Democracia,151202
Santa Bárbara,151203
San Antonio de Los Altos,151301
Río Chico,151401
El Guapo,151402
Tacarigua de La Laguna,151403
Paparo,151404
San Fernando del Guapo,151405
Santa Lucía,151501
Cúpira,151601
Machurucuto,151602
Guarenas,151701
San Francisco de Yare,151801
San Antonio de Yare,151802
Petare,151901
Caucagüita,151902
Fila de Mariches,151903
La Dolorita,151904
Leoncio Martínez,151905
Cúa,152001
Nueva Cúa,152002
Guatire,152101
Bolívar,152102
Capital Acosta,160101
San Francisco,160102
Capital Aguasay,160201
Capital Bolívar,160301
Capital Caripe,160401
El Guácharo,160402
La Guanota,160403
Sabana de Piedra,160404
San Agustín,160405
Teresén,160406
Capital Cedeño,160501
Areo,160502
San Félix,160503
Viento Fresco,160504
Capital Ezequiel Zamora,160601
El Tejero,160602
Capital Libertador,160701
Chaguaramas,160702
Las Alhuacas,160703
Tabasca,160704
Capital Maturín,160801
Alto de los Godos,160802
Boquerón,160803
Las Cocuizas,160804
San Simón,160805
Santa Cruz,160806
El Corozo,160807
El Furrial,160808
Jusepín,160809
La Pica,160810
San Vicente,160811
Capital Piar,160901
Aparicio,160902
Chaguaramal,160903
El Pinto,160904
Guanaguana,160905
La Toscana,160906
Taguaya,160907
Capital Punceres,161001
Cachipo,161002
Capital Santa Bárbara,161101
Capital Sotillo,161201
Los Barrancos de Fajardo,161202
Capital Uracoa,161301
Capital Antolín del Campo,170101
Capital Arismendi,170201
Capital Díaz,170301
Zabala,170302
Capital García,170401
Francisco Fajardo,170402
Capital Gómez,170501
Bolívar,170502
Guevara,170503
Matasiete,170504
Sucre,170505
Capital Maneiro,170601
Aguirre,170602
Capital Marcano,170701
Adrián,170702
Capital Mariño,170801
Capital Península de Macanao,170901
San Francisco,170902
Capital Tubores,171001
Los Barales,171002
Capital Villalba,171101
Vicente Fuentes,171102
Capital Agua Blanca,180101
Capital Araure,180201
Río Acarigua,180202
Capital Esteller,180301
Uveral,180302
Capital Guanare,180401
Córdoba,180402
San José de la Montaña,180403
San Juan de Guanaguanare,180404
Virgen de la Coromoto,180405
Capital Guanarito,180501
Trinidad de la Capilla,180502
Divina Pastora,180503
Capital Monseñor José Vicente de Unda,180601
Peña Blanca,180602
Capital Ospino,180701
Aparición,180702
La Estación,180703
Capital Páez,180801
Payara,180802
Pimpinela,180803
Ramón Peraza,180804
Capital Papelón,180901
Caño Delgadito,180902
Capital San Genaro de Boconoito,181001
Antolín Tovar,181002
Capital San Rafael de Onoto,181101
Santa Fe,181102
Thermo Morles,181103
Capital Santa Rosalía,181201
Florida,181202
Capital Sucre,181301
Concepción,181302
San Rafael de Palo Alzado,181303
Uvencio Antonio Velásquez,181304
San José de Saguaz,181305
Villa Rosa,181306
Capital Turén,181401
Canelones,181402
Santa Cruz,181403
San Isidro Labrador,181404
Mariño,190101
Rómulo Gallegos,190102
San José de Aerocuar,190201
Tavera Acosta,190202
Río Caribe,190301
Antonio José de Sucre,190302
El Morro de Puerto Santo,190303
Puerto Santo,190304
San Juan de Las Galdonas,190305
El Pilar,190401
El Rincón,190402
General Francisco Antonio Vásquez,190403
Guaraúnos,190404
Tunapuicito,190405
Unión,190406
Bolívar,190501
Macarapana,190502
Santa Catalina,190503
Santa Rosa,190504
Santa Teresa,190505
Capital Bolívar,190601
Yaguaraparo,190701
El Paujil,190702
Libertad,190703
Araya,190801
Chacopata,190802
Manicuare,190803
Tunapuy,190901
Campo Elías,190902
Irapa,191001
Campo Claro,191002
Marabal,191003
San Antonio de Irapa,191004
Soro,191005
Capital Mejía,191101
Cumanacoa,191201
Arenas,191202
Aricagua,191203
Cocollar,191204
San Fernando,191205
San Lorenzo,191206
Cariaco,191301
Catuaro,191302
Rendón,191303
Santa Cruz,191304
Santa María,191305
Altagracia,191401
Ayacucho,191402
Santa Inés,191403
Valentín Valiente,191404
San Juan,191405
Raúl Leoni,191406
Santa Fe,191407
Güiria,191501
Bideau,191502
Cristóbal Colón,191503
Punta de Piedras,191504
Capital Andrés Bello,200101
Capital Antonio Rómulo Costa,200201
Capital Ayacucho,200301
Rivas Berti,200302
San Pedro del Río,200303
Capital Bolívar,200401
Palotal,200402
Juan Vicente Gómez,200403
Isaías Medina Angarita,200404
Capital Cárdenas,200501
Amenodoro Rangel Lamús,200502
La Florida,200503
Capital Córdoba,200601
Capital Fernández Feo,200701
Alberto Adriani,200702
Santo Domingo,200703
Capital Francisco de Miranda,200801
Capital García de Hevia,200901
Boca de Grita,200902
José Antonio Páez,200903
Capital Guásimos,201001
Capital Independencia,201101
Juan Germán Roscio,201102
Román Cárdenas,201103
Capital Jáuregui,201201
Emilio Constantino Guerrero,201202
Monseñor Miguel Antonio Salas,201203
Capital José María Vargas,201301
Capital Junín,201401
La Petrólea,201402
Quinimarí,201403
Bramón,201404
Capital Libertad,201501
Cipriano Castro,201502
Manuel Felipe Rugeles,201503
Capital Libertador,201601
Emeterio Ochoa,201602
Doradas,201603
San Joaquín de Navay,201604
Capital Lobatera,201701
Constitución,201702
Capital Michelena,201801
Capital Panamericano,201901
La Palmita,201902
Capital Pedro María Ureña,202001
Nueva Arcadia,202002
Capital Rafael Urdaneta,202101
Capital Samuel Darío Maldonado,202201
Boconó,202202
Hernández,202203
La Concordia,202301
Pedro María Morantes,202302
San Juan Bautista,202303
San Sebastián,202304
Dr. Francisco Romero Lobo,202305
Capital Seboruco,202401
Capital Simón Rodríguez,202501
Capital Sucre,202601
Eleazar López Contreras,202602
San Pablo,202603
Capital Torbes,202701
Capital Uribante,202801
Cárdenas,202802
Juan Pablo Peñaloza,202803
Potosí,202804
Capital San Judas Tadeo,202901
Santa Isabel,210101
Araguaney,210102
El Jagüito,210103
La Esperanza,210104
Boconó,210201
El Carmen,210202
Mosquey,210203
Ayacucho,210204
Burbusay,210205
General Rivas,210206
Guaramacal,210207
Vega de Guaramacal,210208
Monseñor Jáuregui,210209
Rafael Rangel,210210
San Miguel,210211
San José,210212
Sabana Grande,210301
Cheregüé,210302
Granados,210303
Chejendé,210401
Arnoldo Gabaldón,210402
Bolivia,210403
Carrillo,210404
Cegarra,210405
Manuel Salvador Ulloa,210406
San José,210407
Carache,210501
Cuicas,210502
La Concepción,210503
Panamericana,210504
Santa Cruz,210505
Escuque,210601
La Unión,210602
Sabana Libre,210603
Santa Rita,210604
El Socorro,210701
Antonio José de Sucre,210702
Los Caprichos,210703
Campo Elías,210801
Arnoldo Gabaldón,210802
Santa Apolonia,210901
El Progreso,210902
La Ceiba,210903
Tres de Febrero,210904
El Dividive,211001
Agua Santa,211002
Agua Caliente,211003
El Cenizo,211004
Valerita,211005
Monte Carmelo,211101
Buena Vista,211102
Santa María del Horcón,211103
Motatán,211201
El Baño,211202
Jalisco,211203
Pampán,211301
Flor de Patria,211302
La Paz,211304
Santa Ana,211305
Pampanito,211401
La Concepción,211402
Pampanito II,211403
Betijoque,211501
La Pueblita,211502
Los Cedros,211503
José Gregorio Hernández,211504
Carvajal,211601
Antonio Nicolás Briceño,211602
Campo Alegre,211603
José Leonardo Suárez,211604
Sabana de Mendoza,211701
El Paraíso,211702
Junín,211703
Valmore Rodríguez,211704
Andrés Linares,211801
Chiquinquirá,211802
Cristóbal Mendoza,211803
Cruz Carrillo,211804
Matriz,211805
Monseñor Carrillo,211806
Tres Esquinas,211807
La Quebrada,211901
Cabimbú,211902
Jajó,211903
La Mesa,211904
Santiago,211905
Tuñame,211906
Juan Ignacio Montilla,212001
La Beatriz,212002
Mercedes Díaz,212003
San Luis,212004
La Puerta,212005
Mendoza,212006
Capital Arístides Bastidas,220101
Capital Bolívar,220201
Capital Bruzual,220301
Campo Elías,220302
Capital Cocorote,220401
Capital Independencia,220501
Capital José Antonio Páez,220601
Capital La Trinidad,220701
Capital Manuel Monge,220801
Capital Nirgua,220901
Salom,220902
Temerla,220903
Capital Peña,221001
San Andrés,221002
Capital San Felipe,221101
Albarico,221102
San Javier,221103
Capital Sucre,221201
Capital Urachiche,221301
Capital Veroes,221401
El Guayabo,221402
Isla de Toas,230101
Monagas,230102
San Timoteo,230201
General Urdaneta,230202
Libertador,230203
Manuel Guanipa Matos,230204
Marcelino Briceño,230205
Pueblo Nuevo,230206
Ambrosio,230301
Carmen Herrera,230302
Germán Ríos Linares,230303
La Rosa,230304
Jorge Hernández,230305
Rómulo Betancourt,230306
San Benito,230307
Arístides Calvani,230308
Punta Gorda,230309
Encontrados,230401
Udón Pérez,230402
San Carlos del Zulia,230501
Moralito,230502
Santa Bárbara,230503
Santa Cruz del Zulia,230504
Urribarri,230505
Simón Rodríguez,230601
Carlos Quevedo,230602
Francisco Javier Pulgar,230603
La Concepción,230701
José Ramón Yepes,230702
Mariano Parra León,230703
San José,230704
Jesús María Semprún,230801
Barí,230802
Concepción,230901
Andrés Bello,230902
Chiquinquirá,230903
El Carmelo,230904
Potreritos,230905
Alonso de Ojeda,231001
Libertad,231002
Campo Lara,231003
Eleazar López Contreras,231004
Venezuela,231005
Libertad,231101
Bartolomé de las Casas,231102
Río Negro,231103
San José de Perijá,231104
San Rafael,231201
La Sierrita,231202
Las Parcelas,231203
Luis de Vicente,231204
Monseñor Marcos Sergio Godoy,231205
Ricaurte,231206
Tamare,231207
Antonio Borjas Romero,231301
Bolívar,231302
Cacique Mara,231303
Caracciolo Parra Pérez,231304
Cecilio Acosta,231305
Cristo de Aranza,231306
Coquivacoa,231307
Chiquinquirá,231308
Francisco Eugenio Bustamante,231309
Idelfonso Vásquez,231310
Juana de Avila,231311
Luis Hurtado Higuera,231312
Manuel Dagnino,231313
Olegario Villalobos,231314
Raúl Leoni,231315
Santa Lucía,231316
Venancio Pulgar,231317
San Isidro,231318
Altagracia,231401
Ana María Campos,231402
Faría,231403
San Antonio,231404
San José,231405
Sinamaica,231501
Alta Guajira,231502
Elías Sánchez Rubio,231503
Guajira,231504
El Rosario,231601
Donaldo García,231602
Sixto Zambrano,231603
San Francisco,231701
El Bajo,231702
Domitila Flores,231703
Francisco Ochoa,231704
Los Cortijos,231705
Marcial Hernández,231706
Santa Rita,231801
El Mene,231802
José Cenovio Urribarri,231803
Pedro Lucas Urribarri,231804
Manuel Manrique,231901
Rafael María Baralt,231902
Rafael Urdaneta,231903
Bobures,232001
El Batey,232002
Gibraltar,232003
Heras,232004
Monseñor Arturo Celestino Alvarez,232005
Rómulo Gallegos,232006
La Victoria,232101
Rafael Urdaneta,232102
Raúl Cuenca,232103
Caraballeda,240101
Carayaca,240102
Caruao,240103
Catia La Mar,240104
El Junko,240105
La Guaira,240106
Macuto,240107
Maiquetía,240108
Naiguatá,240109
Raúl Leoni,240110
Carlos Soublette,240111
