code;denomination
3.05.02.03.06;Transferencias	de	capital	internas	de	entes	descentralizados financieros bancarios
3.05.02.03.07;Transferencias	de	capital	internas	de	entes	descentralizados financieros no bancarios
3.05.02.03.08;Transferencias de capital internas del Poder Estadal
3.05.02.03.09;Transferencias de capital internas del Poder Municipal
3.05.02.03.99;Otras transferencias de capital del sector público
3.05.02.04.00;Donaciones de capital internas del sector público
3.05.02.04.01;Donaciones de capital internas de la República
3.05.02.04.02;Donaciones de capital internas de entes descentralizados sin fines empresariales
3.05.02.04.03;Donaciones de capital internas de instituciones de protección social
3.05.02.04.04;Donaciones de capital internas de entes descentralizados con fines empresariales petroleros
3.05.02.04.05;Donaciones de capital internas de entes descentralizados con fines empresariales no petroleros
3.05.02.04.06;Donaciones de capital internas de entes descentralizados financieros bancarios
3.05.02.04.07;Donaciones de capital internas de entes descentralizados financieros no bancarios
3.05.02.04.08;Donaciones de capital internas del Poder Estadal
3.05.02.04.09;Donaciones de capital internas del Poder Municipal
3.05.02.05.00;Transferencias de capital del exterior
3.05.02.05.01;Transferencias de capital de instituciones sin fines de lucro
3.05.02.05.02;Transferencias de capital de gobiernos extranjeros
3.05.02.05.03;Transferencias de capital de organismos internacionales
3.05.02.06.00;Donaciones de capital del exterior
3.05.02.06.01;Donaciones de capital de personas
3.05.02.06.02;Donaciones de capital de instituciones sin fines de lucro
3.05.02.06.03;Donaciones de capital de gobiernos extranjeros
3.05.02.06.04;Donaciones de capital de organismos internacionales
3.05.03.00.00;Situado
3.05.03.01.00;Situado Constitucional
3.05.03.01.01;Situado Estadal
3.05.03.01.02;Situado Municipal
3.05.03.02.00;Situado Estadal a Municipal
3.05.04.00.00;Subsidio de Régimen Especial
3.05.04.01.00;Subsidio de Régimen Especial
3.05.05.00.00;Subsidio de Capitalidad
3.05.05.01.00;Subsidio de Capitalidad
3.05.06.00.00;Asignaciones Económicas Especiales (LAEE)
3.05.06.01.00;Asignaciones Económicas Especiales (LAEE) Estadal
3.05.06.02.00;Asignaciones Económicas Especiales (LAEE) Estadal a Municipal
3.05.06.03.00;Asignaciones Económicas Especiales (LAEE) Municipal
3.05.06.04.00;Asignaciones Económicas Especiales (LAEE) Fondo Nacional de los Consejos Comunales
3.05.06.05.00;Asignaciones	Económicas	Especiales	(LAEE)	Apoyo	al Fortalecimiento Institucional
3.05.08.00.00;Fondo de Compensación Interterritorial
3.05.08.01.00;Fondo de Compensación Interterritorial Estadal
3.05.08.02.00;Fondo de Compensación Interterritorial Municipal
3.05.08.03.00;Fondo de Compensación Interterritorial Poder Popular
3.05.08.04.00;Fondo de Compensación Interterritorial Fortalecimiento Institucional
3.05.09.00.00;Aportes del Sector Público al Poder Estadal y al Poder Municipal por transferencia de servicios
3.05.09.01.00;Aportes del Sector Público al Poder Estadal por transferencia de servicios
3.05.09.02.00;Aportes del Sector Público al Poder Municipal por transferencia de servicios
3.05.10.00.00;Transferencias y donaciones de Organismos del Sector Público a los Consejos Comunales, Comunas y demás organizaciones de base del poder popular
3.05.10.01.00;Transferencias y donaciones corrientes de Organismos del Sector Público a los Consejos Comunales, Comunas y demás organizaciones de base del poder popular
3.05.10.01.01;Transferencias corrientes de Organismos del Sector Público a los Consejos Comunales, Comunas y demás organizaciones de base del poder popular
3.05.10.01.02;Donaciones corrientes de Organismos del Sector Público a los Consejos Comunales, Comunas y demás organizaciones de base del poder popular
3.05.10.02.00;Transferencias y donaciones de capital de Organismos del Sector Público a los Consejos Comunales, Comunas y demás organizaciones de base del poder popular
3.05.10.02.01;Transferencias de capital de Organismos del Sector Público a los Consejos Comunales, Comunas y demás organizaciones de base del poder popular
3.05.10.02.02;Donaciones de capital de Organismos del Sector Público a los  Consejos Comunales, Comunas y demás organizaciones de base del poder popular
3.06.00.00.00;RECURSOS PROPIOS DE CAPITAL
3.06.01.00.00;Venta y/o desincorporación de activos fijos
3.06.01.01.00;Venta y/o desincorporación de tierras y terrenos
3.06.01.02.00;Venta y/o desincorporación de edificios e instalaciones
3.06.01.03.00;Venta y/o desincorporación de maquinarias, equipos y semovientes
3.06.01.03.01;Venta y/o desincorporación de maquinarias y demás equipos de construcción, campo, industria y taller
3.06.01.03.02;Venta y/o desincorporación de equipos de transporte, tracción y elevación
3.06.01.03.03;Venta y/o desincorporación de equipos de comunicaciones y de señalamiento
3.06.01.03.04;Venta y/o desincorporación de equipos médico - quirúrgicos, dentales y de veterinaria
3.06.01.03.05;Venta y/o desincorporación de equipos científicos, religiosos, de enseñanza y recreación
3.06.01.03.06;Venta y/o desincorporación de equipos para la seguridad pública
3.06.01.03.07;Venta y/o desincorporación de máquinas, muebles y demás equipos de oficina y alojamiento
3.06.01.03.08;Venta y/o desincorporación de semovientes
3.06.01.03.99;Venta y/o desincorporación de otros activos fijos
3.06.02.00.00;Venta de activos intangibles
3.06.02.01.00;Venta de marcas de fábrica y patentes de invención
3.06.02.02.00;Venta de derechos de autor
3.06.02.03.00;Recuperación de gastos de organización
3.06.02.04.00;Venta de paquetes y programas de computación
3.06.02.05.00;Venta de estudios y proyectos
3.06.02.99.00;Venta de otros activos intangibles
3.06.03.00.00;Incremento de la depreciación y amortización acumuladas
3.06.03.01.00;Incremento de la depreciación acumulada
3.06.03.01.01;Incremento de la depreciación acumulada de edificios e instalaciones
3.06.03.01.02;Incremento de la depreciación acumulada de maquinarias y demás equipos de construcción, campo, industria y taller
3.06.03.01.03;Incremento de la depreciación acumulada de equipos de transporte, tracción y elevación
3.06.03.01.04;Incremento	de	la	depreciación	acumulada	de	equipos	de comunicaciones y de señalamiento
3.06.03.01.05;Incremento de la depreciación acumulada de equipos médico - quirúrgicos, dentales y de veterinaria
3.06.03.02.08;Incremento de la depreciación acumulada de equipos científicos, religiosos, de enseñanza y recreación
3.06.03.01.07;Incremento de la depreciación acumulada de equipos para la seguridad pública
3.06.03.01.08;Incremento de la depreciación acumulada de máquinas, muebles y demás equipos de oficina y alojamiento
3.06.03.01.09;Incremento de la depreciación acumulada de semovientes
3.06.03.01.99;Incremento de la depreciación acumulada de otros activos fijos
3.06.03.02.00;Incremento de la amortización acumulada
3.06.03.02.01;Incremento de la amortización	acumulada de marcas de fábrica y patentes de invención
3.06.03.02.02;Incremento de la amortización acumulada de derechos de autor
3.06.03.02.03;Incremento de la amortización acumulada de gastos de organización
3.06.03.02.04;Incremento de la amortización acumulada de paquetes y programas de computación
3.06.03.02.05;Incremento de la amortización acumulada de estudios y proyectos
3.06.03.02.99;Incremento de la amortización acumulada de otros activos intangibles
3.07.00.00.00;VENTA DE TÍTULOS Y VALORES QUE NO OTORGAN PROPIEDAD
3.07.01.00.00;Venta de títulos y valores de corto plazo
3.07.01.01.00;Venta de títulos y valores privados de corto plazo
3.07.01.02.00;Venta de títulos y valores públicos de corto plazo
3.07.01.03.00;Venta de títulos y valores externos de corto plazo
3.07.02.00.00;Venta de títulos y valores de largo plazo
3.07.02.01.00;Venta de títulos y valores privados de largo plazo
3.07.02.02.00;Venta de títulos y valores públicos de largo plazo
3.07.02.03.00;Venta de títulos y valores externos de largo plazo
3.08.00.00.00;VENTA DE ACCIONES Y PARTICIPACIONES DE CAPITAL
3.08.01.00.00;Venta de acciones y participaciones de capital del sector privado
3.08.01.01.00;Venta de acciones y participaciones de capital del sector privado
3.08.02.00.00;Venta de acciones y participaciones de capital del sector público
3.08.02.01.00;Venta	de	acciones	y	participaciones	de	capital	de	entes descentralizados sin fines empresariales
3.08.02.02.00;Venta de acciones y participaciones de capital de instituciones de protección social
3.08.02.03.00;Venta	de	acciones	y	participaciones	de	capital	de	entes descentralizados con fines empresariales petroleros
3.08.02.04.00;Venta	de	acciones	y	participaciones	de	capital	de	entes descentralizados con fines empresariales no petroleros
3.08.02.05.00;Venta	de	acciones	y	participaciones	de	capital	de	entes descentralizados financieros bancarios
3.08.02.06.00;Venta	de	acciones	y	participaciones	de	capital	de	entes descentralizados financieros no bancarios
3.08.03.00.00;Venta de acciones y participaciones de capital del sector externo
3.08.03.01.00;Venta de acciones y participaciones de capital de organismos internacionales
3.08.03.99.00;Venta de acciones y participaciones de capital de otros entes del sector externo
3.09.00.00.00;RECUPERACIÓN DE PRÉSTAMOS DE CORTO PLAZO
3.09.01.00.00;Recuperación de préstamos otorgados al sector privado de corto plazo
3.09.01.01.00;Recuperación de préstamos otorgados al sector privado de corto plazo
3.09.02.00.00;Recuperación de préstamos otorgados al sector público de corto plazo
3.09.02.01.00;Recuperación de préstamos otorgados a la República de corto plazo
3.09.02.02.00;Recuperación de préstamos otorgados a entes descentralizados sin fines empresariales de corto plazo
3.09.02.03.00;Recuperación de préstamos otorgados a instituciones de protección social de corto plazo
3.09.02.04.00;Recuperación de préstamos otorgados a entes descentralizados con fines empresariales petroleros de corto plazo
3.09.02.05.00;Recuperación de préstamos otorgados a entes descentralizados con fines empresariales no petroleros de corto plazo
3.09.02.06.00;Recuperación de préstamos otorgados a entes descentralizados financieros bancarios de corto plazo
3.09.02.07.00;Recuperación de préstamos otorgados a entes descentralizados financieros no bancarios de corto plazo
3.09.02.08.00;Recuperación de préstamos otorgados al Poder Estadal de corto plazo
3.09.02.09.00;Recuperación de préstamos otorgados al Poder Municipal de corto plazo
3.09.03.00.00;Recuperación de préstamos otorgados al sector externo de corto plazo
3.09.03.01.00;Recuperación de préstamos otorgados a instituciones sin fines de lucro de corto plazo
3.09.03.02.00;Recuperación de préstamos otorgados a gobiernos extranjeros de corto plazo
3.09.03.03.00;Recuperación	de	préstamos	otorgados	a	los	organismos internacionales de corto plazo
3.10.00.00.00;RECUPERACIÓN DE PRÉSTAMOS DE LARGO PLAZO
3.10.01.00.00;Recuperación de préstamos otorgados al sector privado de largo plazo
3.10.01.01.00;Recuperación de préstamos otorgados al sector privado de largo plazo
3.10.02.00.00;Recuperación de préstamos otorgados al sector público de largo plazo
3.10.02.01.00;Recuperación de préstamos otorgados a la República de largo plazo
3.10.02.02.00;Recuperación de préstamos otorgados a entes descentralizados sin fines empresariales de largo plazo
3.10.02.03.00;Recuperación de préstamos otorgados a instituciones de protección social de largo plazo
3.10.02.04.00;Recuperación de préstamos otorgados a entes descentralizados con fines empresariales petroleros de largo plazo
3.10.02.05.00;Recuperación de préstamos otorgados a entes descentralizados con fines empresariales no petroleros de largo plazo
3.10.02.06.00;Recuperación de préstamos otorgados a entes descentralizados financieros bancarios de largo plazo
3.10.02.07.00;Recuperación de préstamos otorgados a entes descentralizados financieros no bancarios de largo plazo
3.10.02.08.00;Recuperación de préstamos otorgados al Poder Estadal de largo plazo
3.10.02.09.00;Recuperación de préstamos otorgados al Poder Municipal de largo plazo
3.10.03.00.00;Recuperación de préstamos otorgados al sector externo de largo plazo
3.10.03.01.00;Recuperación de préstamos otorgados a instituciones sin fines de lucro de largo plazo
3.10.03.02.00;Recuperación de préstamos otorgados a gobiernos extranjeros de largo plazo
3.10.03.03.00;Recuperación de préstamos otorgados a organismos internacionales de largo plazo
3.11.00.00.00;DISMINUCIÓN DE OTROS ACTIVOS FINANCIEROS
3.11.01.00.00;Disminución de disponibilidades
3.11.01.01.00;Disminución de caja
3.11.01.02.00;Disminución de bancos
3.11.01.02.01;Disminución de bancos públicos
3.11.01.02.02;Disminución de bancos privados
3.11.01.02.03;Disminución de bancos en el exterior
3.11.01.03.00;Disminución de inversiones temporales
3.11.02.00.00;Disminución de cuentas por cobrar a corto plazo
3.11.02.01.00;Disminución de cuentas comerciales por cobrar a corto plazo
3.11.02.02.00;Disminución de rentas por recaudar a corto plazo
3.11.02.03.00;Disminución de deudas de cuentas por rendir a corto plazo
3.11.02.03.01;Disminución de deudas de cuentadantes por rendir de fondos en avance a corto plazo
3.11.02.03.02;Disminución de deudas de cuentadantes por rendir de fondos en anticipos a corto plazo
3.11.02.04.00;Disminución de cuentas por cobrar depósitos por enteramiento de fondos públicos
3.11.02.99.00;Disminución de otras cuentas por cobrar a corto plazo
3.11.03.00.00;Disminución de efectos por cobrar a corto plazo
3.11.03.01.00;Disminución de efectos comerciales por cobrar a corto plazo
3.11.03.99.00;Disminución de otros efectos por cobrar a corto plazo
3.11.04.00.00;Disminución de cuentas por cobrar a mediano y largo plazo
3.11.04.01.00;Disminución de cuentas comerciales por cobrar a mediano y largo plazo
3.11.04.02.00;Disminución de rentas por recaudar a mediano y largo plazo
3.11.04.99.00;Disminución de otras cuentas por cobrar a mediano y largo plazo
3.11.05.00.00;Disminución de efectos por cobrar a mediano y largo plazo
3.11.05.01.00;Disminución de efectos comerciales por cobrar a mediano y largo plazo
3.11.05.99.00;Disminución de otros efectos por cobrar a mediano y largo plazo
3.11.06.00.00;Disminución de fondos en avance, anticipo y en fideicomiso
3.11.06.01.00;Disminución de fondos en avance
3.11.06.02.00;Disminución de fondos en anticipo
3.11.06.03.00;Disminución de fondos en fideicomiso
3.11.06.04.00;Disminución de anticipos a proveedores
3.11.06.05.00;Disminución de anticipos a contratistas, por contratos a corto plazo
3.11.06.06.00;Disminución de anticipos a contratistas, por contratos a mediano y largo plazo
3.11.07.00.00;Disminución de activos diferidos a corto plazo
3.11.07.01.00;Disminución de gastos a corto plazo pagados por anticipado
3.11.07.01.01;Disminución de intereses de la deuda pública interna a corto plazo pagados por anticipado
3.11.07.01.02;Disminución de intereses de la deuda pública externa a corto plazo pagados por anticipado
3.11.07.01.03;Disminución de otros intereses a corto plazo pagados por anticipado
3.11.07.01.04;Disminución de débitos por apertura de cartas de crédito a corto plazo
3.11.07.01.99;Disminución de otros gastos a corto plazo pagados por anticipado
3.11.07.02.00;Disminución de depósitos en garantía a corto plazo
3.11.07.99.00;Disminución de otros activos diferidos a corto plazo
3.11.08.00.00;Disminución de activos diferidos a mediano y largo plazo
3.11.08.01.00;Disminución de gastos a mediano y largo plazo pagados por anticipado
3.11.08.01.01;Disminución de intereses de la deuda pública interna a largo plazo pagados por anticipado
3.11.08.01.02;Disminución de intereses de la deuda pública externa a largo plazo pagados por anticipado
3.11.08.01.03;Disminución de otros intereses a mediano y largo plazo pagados por anticipado
3.11.08.01.99;Disminución de otros gastos a mediano y largo plazo pagados por anticipado
3.11.08.02.00;Disminución de depósitos en garantía a mediano y largo plazo
3.11.08.99.00;Disminución de otros activos diferidos a mediano y largo plazo
3.11.09.00.00;Disminución del Fondo de Estabilización Macroeconómica (FEM)
3.11.09.01.00;Disminución del Fondo de Estabilización Macroeconómica (FEM) de la República
3.11.09.02.00;Disminución del Fondo de Estabilización Macroeconómica (FEM) del Poder Estadal
3.11.09.03.00;Disminución del Fondo de Estabilización Macroeconómica (FEM) del Poder Municipal
3.11.10.00.00;Disminución del Fondo de Ahorro Intergeneracional
3.11.10.01.00;Disminución del Fondo de Ahorro Intergeneracional
3.11.12.00.00;Disminución del Fondo de Aporte del Sector Público
3.11.12.01.00;Disminución del Fondo de Aporte del Sector Público
3.11.20.00.00;Disminución de activos en proceso judicial
3.11.20.01.00;Disminución de activos financieros en gestión judicial a mediano y largo plazo
3.11.20.02.00;Disminución de títulos y otros valores de la deuda pública en litigio a largo plazo
3.11.99.00.00;Disminución de otros activos financieros
3.11.99.01.00;Disminución de otros activos financieros circulantes
3.11.99.01.01;Disminución de depósitos por enteramiento de fondos públicos recibidos en custodia
3.11.99.02.00;Disminución de otros activos financieros no circulantes
3.12.00.00.00;INCREMENTO DE PASIVOS
3.12.01.00.00;Incremento de gastos de personal por pagar
3.12.01.01.00;Incremento de sueldos, salarios y otras remuneraciones por pagar
3.12.02.00.00;Incremento de aportes patronales y retenciones laborales por pagar
3.12.02.01.00;Incremento de aportes patronales y retenciones laborales por pagar al Instituto Venezolano de los Seguros Sociales (IVSS)
3.12.02.02.00;Incremento de aportes patronales y retenciones laborales por pagar al Instituto de Previsión Social del Ministerio de Educación (Ipasme)
3.12.02.03.00;Incremento de aportes patronales y retenciones laborales por pagar al Fondo de Jubilaciones
3.12.02.04.00;Incremento de aportes patronales y retenciones laborales por pagar al Fondo Contributivo del Régimen Prestacional de empleo
3.12.02.05.00;Incremento de aportes patronales y retenciones laborales por pagar al Fondo de Ahorro Obligatorio para la Vivienda (FAOV)
3.12.02.06.00;Incremento de aportes patronales y retenciones laborales por pagar por seguro de vida, accidentes personales, hospitalización, cirugía y maternidad (HCM) y gastos funerarios
3.12.02.07.00;Incremento de aportes patronales y retenciones laborales por pagar a cajas de ahorro
3.12.02.08.00;Incremento de aportes patronales y retenciones laborales por pagar a los organismos de seguridad social
3.12.02.09.00;Incremento de aportes patronales y retenciones laborales por pagar al Instituto Nacional de Capacitación y Educación Socialista (Inces)
3.12.02.10.00;Incremento de retenciones laborales por pagar por pensión alimenticia
3.12.02.99.00;Incremento de otros aportes patronales y otras retenciones laborales por pagar
3.12.02.99.01;Incremento de otros aportes patronales por pagar
3.12.02.99.02;Incremento de otras retenciones laborales por pagar
3.12.03.00.00;Incremento de cuentas y efectos por pagar a proveedores
3.12.03.01.00;Incremento de cuentas por pagar a proveedores a corto plazo
3.12.03.02.00;Incremento de efectos por pagar a proveedores a corto plazo
3.12.03.03.00;Incremento de cuentas por pagar a proveedores a mediano y largo plazo
3.12.03.04.00;Incremento de efectos por pagar a proveedores a mediano y largo plazo
3.12.04.00.00;Incremento de cuentas y efectos por pagar a contratistas
3.12.04.01.00;Incremento de cuentas por pagar a contratistas a corto plazo
3.12.04.02.00;Incremento de efectos por pagar a contratistas a corto plazo
3.12.04.03.00;Incremento de cuentas por pagar a contratistas a mediano y largo plazo
3.12.04.04.00;Incremento de efectos por pagar a contratistas a mediano y largo plazo
3.12.05.00.00;Incremento de intereses por pagar
3.12.05.01.00;Incremento de intereses internos por pagar
3.12.05.02.00;Incremento de intereses externos por pagar
3.12.06.00.00;Incremento de otras cuentas y efectos por pagar
3.12.06.01.00;Incremento de otras cuentas por pagar a corto plazo
3.12.06.02.00;Incremento de otras obligaciones de ejercicios económico financieros anteriores por pagar
3.12.06.03.00;Incremento de otros efectos por pagar a corto plazo
3.12.07.00.00;Incremento de pasivos diferidos
3.12.07.01.00;Incremento de pasivos diferidos a corto plazo
3.12.07.01.01;Incremento de rentas diferidas por recaudar a corto plazo
3.12.07.02.00;Incremento de pasivos diferidos a mediano y largo plazo
3.12.07.02.01;Incremento de colocación de certificados de reintegro tributario
3.12.07.02.02;Incremento de colocación de bonos de exportación
3.12.07.02.03;Incremento de colocación de bonos en dación de pagos
3.12.08.00.00;Incremento de provisiones y reservas técnicas
3.12.08.01.00;Incremento de provisiones
3.12.08.01.01;Incremento de provisiones para cuentas incobrables
3.12.08.01.02;Incremento de provisiones para despidos
3.12.08.01.03;Incremento de provisiones para pérdidas de inventarios
3.12.08.01.04;Incremento de provisiones para beneficios sociales
3.12.08.01.99;Incremento de otras provisiones
3.12.08.02.00;Incremento de reservas técnicas
3.12.09.00.00;Incremento de fondos de terceros
3.12.09.01.00;Incremento de depósitos recibidos en garantía
3.12.09.02.00;Incremento de depósitos recibidos por enteramiento de fondos públicos
3.12.09.99.00;Incremento de otros fondos de terceros
3.12.10.00.00;Incremento de depósitos en instituciones financieras
3.12.10.01.00;Incremento de depósitos a la vista
3.12.10.01.01;Incremento de depósitos a la vista de organismos del sector público
3.12.10.01.02;Incremento de depósitos a la vista de personas naturales y jurídicas del sector privado
3.12.10.02.00;Incremento de depósitos a plazo fijo
3.12.10.02.01;Incremento de depósitos a plazo fijo de organismos del sector público
3.12.10.02.02;Incremento de depósitos a plazo fijo de personas naturales y jurídicas del sector privado
3.12.11.00.00;Reestructuración y/o refinanciamiento de la deuda pública
3.12.11.01.00;Incremento por reestructuración y/o refinanciamiento de la deuda pública interna de largo plazo en corto plazo
3.12.11.02.00;Incremento por reestructuración y/o refinanciamiento de la deuda pública interna de corto plazo en largo plazo
3.12.11.03.00;Incremento por reestructuración y/o refinanciamiento de la deuda pública externa de largo plazo en corto plazo
3.12.11.04.00;Incremento por reestructuración y/o refinanciamiento de la deuda pública externa de corto plazo en largo plazo
3.12.11.05.00;Incremento de la deuda pública por distribuir
3.12.11.05.01;Incremento de la deuda pública interna por distribuir
3.12.11.05.02;Incremento de la deuda pública externa por distribuir
3.12.99.00.00;Incremento de otros pasivos
3.12.99.01.00;Incremento de otros pasivos a corto plazo
3.12.99.02.00;Incremento de otros pasivos a mediano y largo plazo
3.13.00.00.00;INCREMENTO DEL PATRIMONIO
3.13.01.00.00;Incremento del capital
3.13.01.01.00;Incremento del capital fiscal e institucional
3.13.01.02.00;Incremento de aportes por capitalizar
3.13.01.03.00;Incremento de dividendos a distribuir
3.13.02.00.00;Incremento de reservas
3.13.02.01.00;Incremento de reservas
3.13.03.00.00;Ajustes por inflación
3.13.03.01.00;Ajustes por inflación
3.13.04.00.00;Incremento de resultados
3.13.04.01.00;Incremento de resultados acumulados
3.13.04.02.00;Incremento de resultados del ejercicio económico financiero
4.00.00.00.00;EGRESOS
4.01.00.00.00;GASTOS DE PERSONAL
4.01.01.00.00;Sueldos, salarios y otras retribuciones
4.01.01.01.00;Sueldos básicos personal fijo a tiempo completo
4.01.01.02.00;Sueldos básicos personal fijo a tiempo parcial
4.01.01.03.00;Suplencias al personal empleado
4.01.01.08.00;Sueldo al personal en trámite de nombramiento
4.01.01.09.00;Remuneraciones al personal en período de disponibilidad
4.01.01.10.00;Salarios al personal obrero en puestos permanentes a tiempo completo
4.01.01.11.00;Salarios al personal obrero en puestos permanentes a tiempo parcial
4.01.01.12.00;Salarios al personal obrero en puestos no permanentes
4.01.01.13.00;Suplencias al personal obrero
4.01.01.18.00;Remuneraciones al personal contratado
4.01.01.18.01;Remuneraciones al personal contratado a tiempo determinado
4.01.01.18.02;Remuneraciones por honorarios profesionales
4.01.01.19.00;Retribuciones por becas - salarios, bolsas de trabajo, pasantías y similares
4.01.01.20.00;Sueldo del personal militar profesional
4.01.01.21.00;Sueldo o ración del personal militar no profesional
4.01.01.22.00;Sueldo del personal militar de reserva
4.01.01.29.00;Dietas
4.01.01.30.00;Retribución al personal de reserva
4.01.01.35.00;Sueldo básico de los altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.01.36.00;Sueldo básico del personal de alto nivel y de dirección
4.01.01.37.00;Dietas de los altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.01.38.00;Dietas del personal de alto nivel y de dirección
4.01.01.99.00;Otras retribuciones
4.01.02.00.00;Compensaciones previstas en las escalas de sueldos y salarios
4.01.02.01.00;Compensaciones previstas en las escalas de sueldos al personal empleado fijo a tiempo completo
4.01.02.02.00;Compensaciones previstas en las escalas de sueldos al personal empleado fijo a tiempo parcial
4.01.02.03.00;Compensaciones previstas en las escalas de salarios al personal obrero fijo a tiempo completo
4.01.02.04.00;Compensaciones previstas en las escalas de salarios al personal obrero fijo a tiempo parcial
4.01.02.05.00;Compensaciones previstas en las escalas de sueldos al personal militar
4.01.02.06.00;Compensaciones previstas en las escalas de sueldos de los altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.02.07.00;Compensaciones previstas en las escalas de sueldos del personal de alto nivel y de dirección
4.01.03.00.00;Primas
4.01.03.01.00;Primas por mérito al personal empleado
4.01.03.02.00;Primas de transporte al personal empleado
4.01.03.03.00;Primas por hogar para la protección y estabilidad familiar del personal empleado.
4.01.03.04.00;Primas por hijos e hijas al personal empleado
4.01.03.05.00;Primas por alquileres al personal empleado
4.01.03.06.00;Primas por residencia al personal empleado
4.01.03.07.00;Primas por categoría de escuelas al personal empleado
4.01.03.08.00;Primas de profesionalización al personal empleado
4.01.03.09.00;Primas por antigüedad al personal empleado
4.01.03.10.00;Primas por jerarquía o responsabilidad en el cargo
4.01.03.11.00;Primas al personal en servicio en el exterior
4.01.03.16.00;Primas por mérito al personal obrero
4.01.03.17.00;Primas de transporte al personal obrero
4.01.03.18.00;Primas por hogar para la protección y estabilidad familiar del personal obrero.
4.01.03.19.00;Primas por hijos e hijas al personal obrero
4.01.03.20.00;Primas por residencia al personal obrero
4.01.03.21.00;Primas por antigüedad al personal obrero
4.01.03.22.00;Primas de profesionalización al personal obrero
4.01.03.26.00;Primas por hijos e hijas al personal militar
4.01.03.27.00;Primas de profesionalización al personal militar
4.01.03.28.00;Primas por antigüedad al personal militar
4.01.03.29.00;Primas por potencial de ascenso al personal militar
4.01.03.30.00;Primas por frontera y sitios inhóspitos al personal militar y de seguridad
4.01.03.31.00;Primas por riesgo al personal militar y de seguridad
4.01.03.37.00;Primas de transporte al personal contratado
4.01.03.38.00;Primas por hogar para la protección y estabilidad familiar del personal contratado
4.01.03.39.00;Primas por hijos e hijas al personal contratado
4.01.03.40.00;Primas de profesionalización al personal contratado
4.01.03.41.00;Primas por antigüedad al personal contratado
4.01.03.42.00;Primas por hijos e hijas de los altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.03.43.00;Primas de profesionalización	de los altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.03.44.00;Primas por antigüedad de los altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.03.45.00;Primas por hijos e hijas al personal de alto nivel y de dirección 
4.01.03.48.00;Primas de profesionalización al personal de alto nivel y de dirección
4.01.03.49.00;Primas de antigüedad al personal de alto nivel y de dirección
4.01.03.50.00;Primas por hogar para la protección y estabilidad familiar de los altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.03.51.00;Primas por hogar para la protección y estabilidad familiar al personal de alto nivel y de dirección
4.01.03.94.00;Otras primas a los altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.03.95.00;Otras primas al personal de alto nivel y de dirección
4.01.03.96.00;Otras primas al personal contratado
4.01.03.97.00;Otras primas al personal empleado
4.01.03.98.00;Otras primas al personal obrero
4.01.03.99.00;Otras primas al personal militar
4.01.04.00.00;Complementos de sueldos y salarios
4.01.04.01.00;Complemento al personal empleado por horas extraordinarias o por sobre tiempo
4.01.04.02.00;Complemento al personal empleado por trabajo nocturno
4.01.04.03.00;Complemento al personal empleado por gastos de alimentación
4.01.04.04.00;Complemento al personal empleado por gastos de transporte
4.01.04.05.00;Complemento al personal empleado por gastos de representación
4.01.04.06.00;Complemento al personal empleado por comisión de servicios
4.01.04.07.00;Bonificación al personal empleado
4.01.04.08.00;Bono compensatorio de alimentación al personal empleado
4.01.04.09.00;Bono compensatorio de transporte al personal empleado
4.01.04.10.00;Complemento al personal empleado por días feriados
4.01.04.14.00;Complemento al personal obrero por horas extraordinarias o por sobre tiempo
4.01.04.15.00;Complemento al personal obrero por trabajo o jornada nocturna
4.01.04.16.00;Complemento al personal obrero por gastos de alimentación
4.01.04.17.00;Complemento al personal obrero por gastos de transporte
4.01.04.18.00;Bono compensatorio de alimentación al personal obrero
4.01.04.19.00;Bono compensatorio de transporte al personal obrero
4.01.04.20.00;Complemento al personal obrero por días feriados
4.01.04.24.00;Complemento al personal contratado por horas extraordinarias o por sobre tiempo
4.01.04.25.00;Complemento al personal contratado por gastos de alimentación
4.01.04.26.00;Bono compensatorio de alimentación al personal contratado
4.01.04.27.00;Bono compensatorio de transporte al personal contratado
4.01.04.28.00;Complemento al personal contratado por días feriados
4.01.04.32.00;Complemento al personal militar por gastos de alimentación
4.01.04.33.00;Complemento al personal militar por gastos de transporte
4.01.04.34.00;Complemento al personal militar en el exterior
4.01.04.35.00;Bono compensatorio de alimentación al personal militar
4.01.04.43.00;Complemento a altos funcionarios y altas funcionarias del poder público y de elección popular por gastos de representación
4.01.04.44.00;Complemento a altos funcionarios y altas funcionarias del poder público y de elección popular por comisión de servicios
4.01.04.45.00;Bonificación a altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.04.46.00;Bono compensatorio de alimentación a altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.04.47.00;Bono compensatorio de transporte a altos funcionarios y altas funcionarias del poder público y de elección popular
4.01.04.48.00;Complemento al personal de alto nivel y de dirección por gastos de representación
4.01.04.49.00;Complemento al personal de alto nivel y de dirección por comisión de servicios
